workload,i,file,size,read_time,size_with_metadata,run
classic,8.0,parquet,198249209.0,0.366296,,
classic,8.0,orc,183467312.0,0.390452,,
classic,8.0,btrblocks,206339125.0,532135.0,206339293.0,
log,8.0,parquet,23909928.0,0.172388,,
log,8.0,orc,17129111.0,0.264012,,
log,8.0,btrblocks,32344244.0,61055.0,32344412.0,
ml,8.0,parquet,85059568.0,0.251038,,
ml,8.0,orc,83054749.0,0.370713,,
ml,8.0,btrblocks,108679782.0,158520.0,108679950.0,
bi,8.0,parquet,31206759.0,0.195869,,
bi,8.0,orc,28144655.0,0.341115,,
bi,8.0,btrblocks,28230866.0,34635.0,28231034.0,
core,9.0,parquet,37413239.0,0.198634,,
core,9.0,orc,38468540.0,0.369989,,
core,9.0,btrblocks,44144434.0,51591.0,44144602.0,
geo,9.0,parquet,116094986.0,0.283446,,
geo,9.0,orc,108626537.0,0.372977,,
geo,9.0,btrblocks,134528231.0,326702.0,134528399.0,
classic,9.0,parquet,198249209.0,0.377872,,
classic,9.0,orc,183467312.0,0.416204,,
classic,9.0,btrblocks,206339125.0,530433.0,206339293.0,
log,9.0,parquet,23909928.0,0.170025,,
log,9.0,orc,17129111.0,0.250374,,
log,9.0,btrblocks,32344244.0,63215.0,32344412.0,
ml,9.0,parquet,85059568.0,0.248494,,
ml,9.0,orc,83054749.0,0.36462,,
ml,9.0,btrblocks,108679782.0,158120.0,108679950.0,
bi,9.0,parquet,31206759.0,0.195436,,
bi,9.0,orc,28144655.0,0.340071,,
bi,9.0,btrblocks,28230866.0,37025.0,28231034.0,
core,,parquet,37413239.0,0.195101,,3.0
core,,orc,38468540.0,0.359527,,3.0
core,,btrblocks,44152447.0,50508.0,44152615.0,3.0
geo,,parquet,116094986.0,0.2768,,3.0
geo,,orc,108626537.0,0.364453,,3.0
geo,,btrblocks,134541531.0,326145.0,134541699.0,3.0
classic,,parquet,198249209.0,0.367298,,3.0
classic,,orc,183467312.0,0.419826,,3.0
classic,,btrblocks,206337312.0,530432.0,206337480.0,3.0
log,,parquet,23909928.0,0.169979,,3.0
log,,orc,17129111.0,0.243723,,3.0
log,,btrblocks,32433994.0,60167.0,32434162.0,3.0
ml,,parquet,85059568.0,0.248596,,3.0
ml,,orc,83054749.0,0.370221,,3.0
ml,,btrblocks,108686140.0,157572.0,108686308.0,3.0
bi,,parquet,31206759.0,0.173866,,3.0
bi,,orc,28144655.0,0.341099,,3.0
bi,,btrblocks,28505386.0,34090.0,28505554.0,3.0
core,,parquet,37413239.0,0.192647,,3.0
core,,orc,38468540.0,0.359462,,3.0
core,,btrblocks,44149390.0,50718.0,44149558.0,3.0
geo,,parquet,116094986.0,0.274645,,3.0
geo,,orc,108626537.0,0.369666,,3.0
geo,,btrblocks,134536880.0,327918.0,134537048.0,3.0
classic,,parquet,198249209.0,0.368582,,3.0
classic,,orc,183467312.0,0.415062,,3.0
classic,,btrblocks,206332643.0,528678.0,206332811.0,3.0
log,,parquet,23909928.0,0.142981,,3.0
log,,orc,17129111.0,0.252702,,3.0
log,,btrblocks,32334777.0,61656.0,32334945.0,3.0
ml,,parquet,85059568.0,0.247331,,3.0
ml,,orc,83054749.0,0.367637,,3.0
ml,,btrblocks,108681196.0,157751.0,108681364.0,3.0
bi,,parquet,31206759.0,0.205817,,3.0
bi,,orc,28144655.0,0.334846,,3.0
bi,,btrblocks,28534011.0,34155.0,28534179.0,3.0
core,,parquet,37413239.0,0.19334,,4.0
core,,orc,38468540.0,0.357793,,4.0
core,,btrblocks,44142682.0,50469.0,44142850.0,4.0
core,,parquet,37413239.0,0.194058,,3.0
core,,orc,38468540.0,0.373976,,3.0
core,,btrblocks,44129851.0,53469.0,44130019.0,3.0
core,,parquet,37413239.0,0.195471,,3.0
core,,orc,38468540.0,0.36536,,3.0
core,,btrblocks,44345254.0,48226.0,44345422.0,3.0
geo,,parquet,116094986.0,0.27361,,3.0
geo,,orc,108626537.0,0.362253,,3.0
geo,,btrblocks,134531738.0,326877.0,134531906.0,3.0
classic,,parquet,198249209.0,0.365662,,3.0
classic,,orc,183467312.0,0.408835,,3.0
classic,,btrblocks,206508381.0,526402.0,206508549.0,3.0
log,,parquet,23909928.0,0.168482,,3.0
log,,orc,17129111.0,0.247179,,3.0
log,,btrblocks,32381668.0,60333.0,32381836.0,3.0
ml,,parquet,85059568.0,0.243167,,3.0
ml,,orc,83054749.0,0.362652,,3.0
ml,,btrblocks,108737136.0,162077.0,108737304.0,3.0
bi,,parquet,31206759.0,0.191808,,3.0
bi,,orc,28144655.0,0.33687,,3.0
bi,,btrblocks,28336401.0,36440.0,28336569.0,3.0
core,,parquet,37413239.0,0.19225,,4.0
core,,orc,38468540.0,0.367759,,4.0
core,,btrblocks,44346342.0,48328.0,44346510.0,4.0
geo,,parquet,116094986.0,0.273526,,4.0
geo,,orc,108626537.0,0.368936,,4.0
geo,,btrblocks,134546065.0,327736.0,134546233.0,4.0
classic,,parquet,198249209.0,0.365495,,4.0
classic,,orc,183467312.0,0.415537,,4.0
classic,,btrblocks,206540597.0,529026.0,206540765.0,4.0
log,,parquet,23909928.0,0.172204,,4.0
log,,orc,17129111.0,0.246954,,4.0
log,,btrblocks,32351386.0,59991.0,32351554.0,4.0
ml,,parquet,85059568.0,0.246098,,4.0
ml,,orc,83054749.0,0.367325,,4.0
ml,,btrblocks,108743232.0,157860.0,108743400.0,4.0
bi,,parquet,31206759.0,0.190614,,4.0
bi,,orc,28144655.0,0.346998,,4.0
bi,,btrblocks,28429662.0,36470.0,28429830.0,4.0
core,,parquet,37413239.0,0.193008,,5.0
core,,orc,38468540.0,0.362301,,5.0
core,,btrblocks,44347918.0,48517.0,44348086.0,5.0
geo,,parquet,116094986.0,0.269026,,5.0
geo,,orc,108626537.0,0.359349,,5.0
geo,,btrblocks,134582045.0,325155.0,134582213.0,5.0
classic,,parquet,198249209.0,0.372657,,5.0
